City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lompoc,34.64,-120.46,78.8,56,1,3.36,US,1600802637
saskylakh,71.92,114.08,43.18,71,0,13.76,RU,1600802612
puerto ayora,-0.74,-90.35,71.01,78,96,10.0,EC,1600802638
bantogon,6.53,124.03,78.24,75,62,3.94,PH,1600802590
neiafu,-18.65,-173.98,73.4,94,75,4.7,TO,1600802638
hofn,64.25,-15.21,41.94,61,0,5.12,IS,1600802638
saint-philippe,-21.36,55.77,66.2,68,20,5.82,RE,1600802639
port elizabeth,-33.92,25.57,50.0,93,0,4.7,ZA,1600802639
albany,42.6,-73.97,69.01,28,0,6.85,US,1600802408
carutapera,-1.2,-46.02,84.52,62,9,11.3,BR,1600802586
ushuaia,-54.8,-68.3,44.6,72,20,17.22,AR,1600802556
oranjestad,12.52,-70.03,93.2,52,20,13.87,AW,1600802493
ponta do sol,32.67,-17.1,75.99,78,40,8.05,PT,1600802567
rockport,28.02,-97.05,80.6,83,75,16.11,US,1600802640
atuona,-9.8,-139.03,78.71,72,100,20.94,PF,1600802640
rikitea,-23.12,-134.97,72.52,76,98,19.33,PF,1600802640
ambulu,-8.35,113.61,75.51,91,37,2.24,ID,1600802641
dolinsk,47.35,142.8,39.2,93,0,6.71,RU,1600802641
new norfolk,-42.78,147.06,48.99,75,86,7.16,AU,1600802641
rossosh,51.12,38.51,56.12,56,0,6.42,RU,1600802642
palu,-0.89,119.87,76.41,81,97,2.19,ID,1600802642
cozumel,20.51,-86.95,91.4,63,20,8.05,MX,1600802642
nikolskoye,59.7,30.79,54.0,87,20,4.47,RU,1600802642
mataura,-46.19,168.86,52.0,94,53,7.0,NZ,1600802643
saldanha,-33.01,17.94,57.2,76,0,6.93,ZA,1600802643
vaini,-21.2,-175.2,71.6,88,90,10.29,TO,1600802643
east london,-33.02,27.91,62.6,82,6,9.17,ZA,1600802643
pisco,-13.7,-76.22,66.99,77,20,12.75,PE,1600802395
turukhansk,65.82,87.98,49.57,86,100,14.92,RU,1600802643
isangel,-19.55,169.27,62.6,93,20,11.39,VU,1600802644
norman wells,65.28,-126.83,46.4,75,75,4.7,CA,1600802644
cherskiy,68.75,161.3,34.43,86,100,6.71,RU,1600802577
bluff,-46.6,168.33,52.0,94,54,7.0,NZ,1600802513
leshukonskoye,64.9,45.76,43.43,83,100,12.17,RU,1600802626
busselton,-33.65,115.33,46.99,78,74,7.47,AU,1600802644
punta arenas,-53.15,-70.92,48.2,57,40,19.46,CL,1600802506
jamestown,42.1,-79.24,66.99,48,1,10.29,US,1600802644
hami,42.8,93.45,65.34,39,0,5.61,CN,1600802508
meulaboh,4.14,96.13,77.56,88,100,4.14,ID,1600802645
ribeira grande,38.52,-28.7,69.8,68,20,11.41,PT,1600802646
cape town,-33.93,18.42,59.0,82,0,14.99,ZA,1600802459
thompson,55.74,-97.86,53.6,76,75,13.87,CA,1600802647
tulsipur,28.13,82.3,81.0,72,98,4.0,NP,1600802647
okahandja,-21.98,16.92,73.99,11,44,5.82,NA,1600802648
coquimbo,-29.95,-71.34,57.2,82,75,12.75,CL,1600802648
langham,52.37,-106.97,64.4,48,75,10.29,CA,1600802648
shache,38.42,77.24,52.05,41,30,2.3,CN,1600802648
zhigansk,66.77,123.37,37.62,81,2,2.26,RU,1600802539
seymchan,62.88,152.43,26.87,92,10,0.94,RU,1600802649
mar del plata,-38.0,-57.56,66.2,32,100,16.11,AR,1600802452
mwinilunga,-11.74,24.43,71.67,28,86,3.0,ZM,1600802649
marawi,8.0,124.29,75.99,85,98,5.01,PH,1600802649
sala consilina,40.39,15.6,72.0,76,97,3.56,IT,1600802649
kuito,-12.38,16.93,69.76,52,37,3.36,AO,1600802650
moberly,39.42,-92.44,77.0,56,100,3.0,US,1600802650
lebu,-37.62,-73.65,53.19,73,23,18.48,CL,1600802650
guerrero negro,27.98,-114.06,87.15,37,0,9.28,MX,1600802609
radhanpur,23.83,71.6,88.34,60,100,6.04,IN,1600802651
sindgi,16.92,76.23,74.53,84,100,16.64,IN,1600802651
portland,45.52,-122.68,71.01,64,75,4.85,US,1600802620
olenegorsk,68.15,33.3,41.68,87,100,13.73,RU,1600802651
kodiak,57.79,-152.41,51.8,81,90,17.22,US,1600802652
ahipara,-35.17,173.17,54.91,90,64,7.85,NZ,1600802652
northam,51.03,-4.22,61.0,93,100,1.99,GB,1600802652
lagoa,39.05,-27.98,67.69,78,55,11.36,PT,1600802652
qaanaaq,77.48,-69.36,15.15,82,0,7.14,GL,1600802652
georgetown,5.41,100.34,78.8,94,40,5.82,MY,1600802576
tucuman,-26.82,-65.22,87.8,14,0,19.46,AR,1600802653
launceston,-41.45,147.17,45.0,87,87,14.99,AU,1600802454
sibolga,1.74,98.78,77.65,85,100,4.94,ID,1600802647
rock sound,24.9,-76.2,81.19,70,0,19.19,BS,1600802653
aksu,41.12,80.26,63.79,29,20,4.03,CN,1600802653
hilo,19.73,-155.09,80.6,61,90,5.61,US,1600802653
iqaluit,63.75,-68.51,33.8,86,90,11.41,CA,1600802405
tual,-5.67,132.75,81.03,83,82,18.68,ID,1600802654
bredasdorp,-34.53,20.04,51.8,87,0,3.36,ZA,1600802524
namatanai,-3.67,152.43,79.3,76,100,2.98,PG,1600802586
ocos,14.51,-92.19,89.6,70,40,6.93,GT,1600802654
lira,2.23,32.91,68.54,82,20,3.8,UG,1600802655
harper,4.38,-7.72,76.64,85,61,11.16,LR,1600802411
asau,46.43,26.4,50.0,90,7,3.06,RO,1600802655
hambantota,6.12,81.12,77.0,100,75,4.7,LK,1600802574
port alfred,-33.59,26.89,60.13,78,0,10.78,ZA,1600802506
nanortalik,60.14,-45.24,38.62,71,0,11.68,GL,1600802656
pevek,69.7,170.31,37.92,86,100,14.16,RU,1600802656
arraial do cabo,-22.97,-42.03,66.2,93,90,17.22,BR,1600802656
gizo,-8.1,156.84,81.75,74,36,8.43,SB,1600802656
hobart,-42.88,147.33,51.8,57,75,10.29,AU,1600802406
totness,5.88,-56.32,85.62,68,77,10.42,SR,1600802657
vila franca do campo,37.72,-25.43,69.8,73,20,6.93,PT,1600802367
yellowknife,62.46,-114.35,52.0,93,75,19.46,CA,1600802657
kapaa,22.08,-159.32,82.4,69,75,14.99,US,1600802657
kokopo,-4.35,152.26,76.98,81,100,4.0,PG,1600802657
barrow,71.29,-156.79,35.6,80,90,17.22,US,1600802402
hermanus,-34.42,19.23,54.0,87,0,1.99,ZA,1600802362
hithadhoo,-0.6,73.08,82.33,68,0,8.03,MV,1600802658
kasongo-lunda,-6.47,16.82,78.67,59,22,0.78,CD,1600802658
sorland,67.67,12.69,41.0,75,40,5.82,NO,1600802518
constitucion,-35.33,-72.42,62.24,53,100,15.03,CL,1600802658
port augusta,-32.5,137.77,51.8,81,3,8.05,AU,1600802658
sinnamary,5.38,-52.95,85.15,67,16,15.03,GF,1600802413
basco,20.45,121.97,82.11,75,100,17.87,PH,1600802659
yar-sale,66.83,70.83,40.39,71,100,11.1,RU,1600802659
port-cartier,50.03,-66.87,53.01,66,90,8.05,CA,1600802590
henties bay,-22.12,14.28,55.99,89,0,4.61,NA,1600802471
sao filipe,14.9,-24.5,80.85,80,12,7.87,CV,1600802572
port lincoln,-34.73,135.87,52.32,79,8,14.85,AU,1600802384
sao borja,-28.66,-56.0,73.24,47,0,7.92,BR,1600802660
dikson,73.51,80.55,41.54,89,6,16.93,RU,1600802543
masvingo,-20.06,30.83,57.58,78,19,8.72,ZW,1600802660
boa vista,2.82,-60.67,95.0,41,40,6.93,BR,1600802595
pokhara,28.23,83.98,70.81,85,100,1.12,NP,1600802660
opuwo,-18.06,13.84,68.54,32,0,6.67,NA,1600802660
remontnoye,46.56,43.65,59.0,28,13,6.71,RU,1600802661
tonantins,-2.87,-67.8,89.83,58,100,1.74,BR,1600802661
tarko-sale,64.92,77.78,39.0,90,100,12.59,RU,1600802661
saint-louis,16.33,-15.0,91.4,63,0,4.61,SN,1600802661
port hardy,50.7,-127.42,55.4,87,90,9.17,CA,1600802375
tubuala,9.52,-79.03,86.0,70,75,3.36,PA,1600802662
astaneh-ye ashrafiyeh,37.26,49.94,68.0,100,90,4.7,IR,1600802662
rio grande,-32.03,-52.1,57.36,60,0,11.05,BR,1600802662
kabalo,-6.05,26.92,77.09,75,100,0.76,CD,1600802662
wick,58.43,-3.08,57.2,82,100,18.34,GB,1600802641
butaritari,3.07,172.79,82.63,77,1,17.31,KI,1600802662
oktyabrskiy,54.48,53.47,53.94,78,100,17.2,RU,1600802663
tura,25.52,90.22,73.63,99,100,3.62,IN,1600802601
havre,49.58,0.33,63.0,93,75,3.36,FR,1600802663
ponta delgada,37.73,-25.67,69.8,73,20,6.93,PT,1600802663
khartoum,15.55,32.53,91.4,36,20,14.99,SD,1600802663
faisalabad,31.42,73.08,87.39,27,0,5.21,PK,1600802403
narsaq,60.92,-46.05,42.8,30,5,5.82,GL,1600802663
kargasok,59.06,80.86,37.85,89,13,8.63,RU,1600802664
rubiataba,-15.16,-49.8,80.37,58,100,6.08,BR,1600802664
victoria,22.29,114.16,82.99,81,44,1.01,HK,1600802509
azul,-36.78,-59.86,71.01,32,100,5.99,AR,1600802665
huarmey,-10.07,-78.15,68.22,65,8,10.07,PE,1600802665
avarua,-21.21,-159.78,77.0,94,89,11.41,CK,1600802665
srandakan,-7.94,110.25,76.14,87,82,5.88,ID,1600802619
stroitel,50.79,36.48,59.0,51,0,6.71,RU,1600802666
guadalajara,20.67,-103.33,80.01,50,40,4.7,MX,1600802409
pemba,-12.97,40.52,77.61,77,0,18.07,MZ,1600802666
ulladulla,-35.35,150.47,59.0,38,0,10.29,AU,1600802666
preeceville,51.95,-102.67,68.88,43,0,11.59,CA,1600802666
saanen,46.49,7.26,59.0,85,100,0.78,CH,1600802667
saint anthony,45.02,-93.22,81.0,44,1,5.82,US,1600802667
kattivakkam,13.22,80.32,84.2,79,75,4.7,IN,1600802667
shieli,44.17,66.75,54.86,39,100,8.21,KZ,1600802667
ellisras,-23.66,27.74,59.95,61,0,9.31,ZA,1600802668
akyab,20.15,92.9,81.61,85,100,7.67,MM,1600802540
bonga,7.28,36.23,61.56,88,97,1.07,ET,1600802668
klyuchi,52.27,79.17,47.91,61,100,7.16,RU,1600802668
tarrafal,15.28,-23.77,82.4,78,20,8.05,CV,1600802668
emerald,-23.53,148.17,71.6,78,100,6.93,AU,1600802668
mahebourg,-20.41,57.7,69.8,73,40,5.82,MU,1600802668
san javier,37.81,-0.84,75.99,64,100,9.17,ES,1600802669
dakar,14.69,-17.44,84.2,83,75,9.17,SN,1600802661
kununurra,-15.77,128.73,78.8,94,40,5.82,AU,1600802669
tuktoyaktuk,69.45,-133.04,39.2,86,90,2.24,CA,1600802669
novikovo,51.15,37.89,56.32,55,0,5.41,RU,1600802669
hyvinkaa,60.63,24.87,50.0,100,57,4.7,FI,1600802670
carnarvon,-24.87,113.63,55.4,71,0,8.05,AU,1600802670
araceli,10.55,119.99,82.8,76,60,5.35,PH,1600802670
kloulklubed,7.04,134.26,75.2,94,75,5.61,PW,1600802670
torbay,47.67,-52.73,53.01,81,90,16.11,CA,1600802671
bandundu,-3.32,17.37,78.3,77,1,2.08,CD,1600802671
buenos aires,-34.61,-58.38,68.0,59,100,6.93,AR,1600802511
severo-kurilsk,50.68,156.12,47.79,86,74,8.43,RU,1600802671
igarka,67.47,86.58,47.68,83,100,3.24,RU,1600802671
cabo san lucas,22.89,-109.91,89.6,70,20,8.05,MX,1600802402
pringsewu,-5.36,104.97,74.26,92,75,4.41,ID,1600802672
chokurdakh,70.63,147.92,41.41,92,100,8.48,RU,1600802672
hamilton,39.18,-84.53,77.0,33,1,3.36,US,1600802672
honiara,-9.43,159.95,73.4,94,20,4.7,SB,1600802412
bethel,41.37,-73.41,66.99,29,1,16.11,US,1600802672
jutai,-5.18,-68.9,93.29,44,95,2.33,BR,1600802672
sitka,57.05,-135.33,57.2,58,90,28.86,US,1600802673
svetlaya,46.54,138.33,55.8,82,70,7.16,RU,1600802673
tabou,4.42,-7.35,76.57,85,66,10.76,CI,1600802673
vostok,46.49,135.88,42.22,98,90,3.65,RU,1600802673
margate,51.38,1.39,66.99,78,26,1.01,GB,1600802458
cidreira,-30.18,-50.21,59.16,63,0,13.38,BR,1600802673
sao desiderio,-12.36,-44.97,97.88,19,100,4.88,BR,1600802674
cayenne,4.93,-52.33,89.6,62,20,17.22,GF,1600802428
tiksi,71.69,128.87,42.28,74,38,17.92,RU,1600802527
palmer,42.16,-72.33,71.6,15,75,11.41,US,1600802389
erenhot,43.65,111.98,54.99,40,16,3.58,CN,1600802675
vicuna,-30.03,-70.71,57.2,82,75,12.75,CL,1600802675
worland,44.02,-107.96,79.0,23,1,3.36,US,1600802675
pangnirtung,66.15,-65.71,41.0,44,20,4.7,CA,1600802676
nome,64.5,-165.41,42.8,75,75,4.7,US,1600802676
pacific grove,36.62,-121.92,64.0,77,1,8.05,US,1600802533
husavik,66.04,-17.34,37.4,85,75,10.29,IS,1600802620
chimbote,-9.09,-78.58,65.71,74,55,10.74,PE,1600802677
nadym,65.53,72.52,37.26,80,81,11.27,RU,1600802678
vila velha,-20.33,-40.29,81.0,78,40,16.11,BR,1600802678
port blair,11.67,92.75,81.95,81,100,5.86,IN,1600802678
khatanga,71.97,102.5,46.17,75,29,11.39,RU,1600802679
arona,28.1,-16.68,77.0,73,100,3.36,ES,1600802679
nkhata bay,-11.61,34.29,75.87,55,0,3.91,MW,1600802680
mazara del vallo,37.66,12.59,78.8,83,20,8.05,IT,1600802680
kaitangata,-46.28,169.85,51.01,72,31,1.99,NZ,1600802680
camacha,33.08,-16.33,73.4,83,40,11.7,PT,1600802681
katsuura,35.13,140.3,69.8,88,75,14.99,JP,1600802681
vestmannaeyjar,63.44,-20.27,41.0,80,40,12.75,IS,1600802681
hasaki,35.73,140.83,69.8,94,75,9.17,JP,1600802681
huangchuan,32.13,115.04,62.4,96,100,5.68,CN,1600802682
faya,18.39,42.45,75.2,13,0,4.16,SA,1600802682
plover,44.46,-89.54,78.01,53,40,5.82,US,1600802682
omsukchan,62.53,155.8,26.71,91,0,2.13,RU,1600802682
ilulissat,69.22,-51.1,26.6,68,40,2.24,GL,1600802682
olafsvik,64.89,-23.71,41.72,74,99,14.54,IS,1600802595
ust-kulom,61.69,53.69,40.32,88,50,10.65,RU,1600802683
stony plain,53.53,-114.0,62.6,55,20,9.17,CA,1600802471
clyde river,70.47,-68.59,33.8,69,40,6.93,CA,1600802683
samarai,-10.62,150.67,78.35,86,100,17.34,PG,1600802683
kalianget,-7.05,113.93,81.25,77,33,2.19,ID,1600802683
biak,-0.91,122.88,77.11,81,96,6.62,ID,1600802592
ternate,0.8,127.4,80.4,79,59,3.96,ID,1600802684
ca mau,9.18,105.15,77.07,92,100,2.39,VN,1600802684
brae,60.4,-1.35,55.4,87,75,20.8,GB,1600802684
provideniya,64.38,-173.3,41.0,74,0,2.24,RU,1600802684
los llanos de aridane,28.66,-17.92,75.2,88,40,5.82,ES,1600802684
tasiilaq,65.61,-37.64,30.2,74,90,12.75,GL,1600802553
mareeba,-17.0,145.43,70.0,94,75,2.24,AU,1600802685
khilok,51.37,110.47,32.25,96,0,1.86,RU,1600802685
kyrylivka,46.38,35.37,65.82,51,0,10.69,UA,1600802685
mbuji-mayi,-6.15,23.6,76.84,72,9,1.3,CD,1600802685
kavieng,-2.57,150.8,82.26,70,100,7.83,PG,1600802514
solnechnyy,50.72,136.63,43.54,81,15,2.39,RU,1600802685
esperance,-33.87,121.9,46.4,100,90,5.82,AU,1600802686
tilichiki,60.47,166.1,30.92,95,2,5.41,RU,1600802686
manavalakurichi,8.13,77.3,78.8,100,75,14.94,IN,1600802686
atikokan,48.76,-91.62,74.08,37,36,7.63,CA,1600802686
tiznit,29.58,-9.5,79.84,32,90,5.77,MA,1600802551
aswan,24.09,32.91,96.22,19,0,16.62,EG,1600802687
korba,22.35,82.68,75.92,93,100,3.38,IN,1600802687
necochea,-38.55,-58.74,71.01,37,12,20.0,AR,1600802688
adrar,20.5,-10.07,101.55,13,20,4.29,MR,1600802389
bhadrachalam,17.67,80.88,77.45,91,99,4.54,IN,1600802688
marovoay,-16.1,46.63,78.8,78,20,5.82,MG,1600802688
akureyri,65.68,-18.09,37.4,77,75,10.29,IS,1600802689
bahia honda,22.9,-83.16,82.2,81,100,8.81,CU,1600802689
bengkulu,-3.8,102.27,78.1,85,98,7.43,ID,1600802524
bukama,-9.2,25.85,81.59,49,12,8.57,CD,1600802689
kaeo,-35.1,173.78,52.0,95,26,6.98,NZ,1600802689
banda aceh,5.56,95.32,80.67,75,100,4.7,ID,1600802689
manokwari,-0.87,134.08,78.42,78,43,5.12,ID,1600802690
puerto el triunfo,13.28,-88.55,96.8,53,20,8.57,SV,1600802690
morant bay,17.88,-76.41,88.0,66,40,11.41,JM,1600802645
roswell,34.02,-84.36,72.0,43,1,3.36,US,1600802690
sinegorye,62.08,150.48,29.32,88,0,1.97,RU,1600802690
shenzhen,22.55,114.07,84.0,83,100,4.47,CN,1600802631
kenai,60.55,-151.26,51.8,66,75,21.92,US,1600802690
san-pedro,4.75,-6.64,75.85,87,87,8.99,CI,1600802691
ketchikan,55.34,-131.65,57.2,76,90,25.28,US,1600802614
saint george,37.1,-113.58,89.6,21,1,4.7,US,1600802691
imbituba,-28.24,-48.67,64.4,48,75,10.29,BR,1600802691
lavumisa,-27.31,31.89,57.94,76,0,2.82,SZ,1600802691
oliveira dos brejinhos,-12.32,-42.9,99.97,14,25,3.15,BR,1600802692
ixtapa,20.7,-105.2,89.01,66,20,5.82,MX,1600802692
machiques,10.06,-72.55,90.39,58,100,2.44,VE,1600802692
kholm,59.27,32.85,54.95,79,100,5.32,RU,1600802692
fort nelson,58.81,-122.7,48.2,61,75,4.7,CA,1600802693
castro,-24.79,-50.01,63.55,62,92,12.17,BR,1600802549
ucluelet,48.93,-125.55,59.0,87,90,13.87,CA,1600802461
alta floresta,-9.88,-56.09,75.2,78,75,4.7,BR,1600802592
camargo,27.67,-105.17,81.99,16,0,3.51,MX,1600802693
lebedinyy,58.52,125.52,35.42,83,0,2.46,RU,1600802693
acheng,45.55,126.98,51.8,100,76,2.24,CN,1600802693
coihaique,-45.58,-72.07,51.8,58,75,12.75,CL,1600802694
buchanan,5.88,-10.05,77.56,85,30,9.13,LR,1600802694
chaman,30.92,66.45,61.2,28,0,4.14,PK,1600802694
mangrol,21.12,70.12,82.36,86,100,18.34,IN,1600802694
kenora,49.82,-94.43,71.6,40,20,8.05,CA,1600802694
salalah,17.02,54.09,80.6,88,75,6.93,OM,1600802695
